25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\
25652:如果\玛丽\演奏\吉\它的\话\,\约翰\也\将\演奏\吉\它\.\
#John will play the guitar if Mary will.
父距 皋府啊 扁鸥甫 楷林茄促搁, 粮档 扁鸥甫 楷林且 巴捞促.

25653:如果\没有\必要\的\话\,\冒雨\外出\是\很\愚蠢\的\.\
#It's silly to go out in the rain if you don't have to.
父距 鞘夸摹 臼促搁, 厚甫 公辅静绊 寇免窍绰 巴篮 酒林 官焊胶矾款 巴捞促.

25654:如果\没有\地心\吸力\,\我们\将\被\抛\入\太空\中\.\
#Without gravity we would be hurtled into space.
父距 瘤备 牢仿捞 绝促搁, 快府绰 快林 加栏肺 带廉龙 巴捞促.

25655:如果\没有\更\好的\东西\,\就\用\现有\的\吧\.\
#lacking anything better,use what you have.
父距 歹 亮篮 拱扒捞 绝促搁 瘤陛 啊瘤绊 乐绰 巴阑 结扼.

25656:如果\没有\什么\阻碍\的\话\,\我们\明天\来\.\
#We shall come tomorrow if nothing prevents.
父距 公郊 厘局啊 绝促搁, 快府绰 郴老 棵 巴捞促.

25657:如果\没有\什么\事\相\阻\,\我\明天\去\看\你\.\
#I will see you tomorrow,should nothing intervene.
父距 辑肺 规秦登绰 公郊 老捞 绝促搁, 唱绰 郴老 呈甫 焊矾 哎 巴捞促.

25658:如果\没有\熟\手\,\就\把\我们\几\个\也\算\进去\吧\.\
#In default of experienced hands,count the few of us among the number.
父距 槛访磊啊 绝促搁, 快府 割 荤恩阑 尝绢 持绢扼.

25659:如果\没有\水\,\这\株\树苗\就\不会\长\得\茂盛\.\
#This plant will not flourish without water.
父距 拱捞 绝促搁 捞 功格篮 公己窍霸 磊扼瘤 给且 巴捞促.

25660:如果\没有\糖\,\我们\不得不\将就\一下\.\
#If there's no sugar,we'll have to do without.
父距 汲帕捞 绝促搁, 快府绰 粱 酒浆款 措肺 曼绊 瘤郴具父 茄促.

25661:如果\没有\我的\劝告\,\他\可能\失败\了\.\
#without my advice,he would have failed.
父距 唱狼 鼻绊啊 绝促搁, 弊绰 角菩且 巴捞促.

25662:如果\每个人\都\准备好\,\我们\就\可以\开始\了\.\
#If everyone is ready we can start.
父距 荤恩甸付促 霖厚啊 促 登菌促搁, 快府绰 矫累且 荐 乐促.

25663:如果\明天\我\有\时间\,\我\想\去\理\个\发\.\
#If I have time tomorrow,I think I'll get a haircut.
父距 郴老 郴啊 矫埃捞 乐促搁, 唱绰 捞惯窍矾 啊妨绊 茄促.

25664:如果\明天\下雨\,\那\末\远足\就要\延期\了\.\
#If it rains tomorrow,the excursion will be postponed.
父距 郴老 厚啊 柯促搁, 家浅篮 楷扁瞪 巴捞促.

25665:如果\明天\再\下雨\,\就\整整\一\星期\了\.\
#It will have been raining for a week if it rains tomorrow.
父距 郴老 肚 厚啊 柯促搁,  部冠 老林老捞 登绰 巴捞促.

25666:如果\你\把\被单\折\成\两\层\,\盖\起来\就\会\暖和\些\.\
#Double the sheet and you'll stay warmer.
父距 匙啊 矫飘甫 捞摸栏肺 立绰促搁, 丹菌阑 锭 粱 蝶舵且 巴捞促.

25667:如果\你\把\果\冻\放\在\阴凉\处\,\它\就\会\凝结\起来\.\
#If you leave it in a cool place,the jelly will solidify.
父距 匙啊 付钢饭捞靛甫 辑疵茄 镑俊 敌促搁 弊巴篮 览绊瞪 巴捞促.

25668:如果\你\把\帘子\拉开\,\人们\会\往\里\看\的\.\
#If you pull the curtain back,people will see in.
父距 匙啊 目瓢阑 凯绢隶腮促搁, 荤恩甸捞 救阑 杭 巴捞促.

25669:如果\你\把\那些\土\豆\全\吃\了\,\你\会\更\胖\的\.\
#You'll get even fatter if you eat all those potatoes.
父距 匙啊 捣阑 篮青俊 历绵茄促搁 捞磊啊 积辨 巴捞促.

25670:如果\你\把\钱\存在\银行\就\会\生\利息\.\
#If you keep money in the savings bank,interest accrues.

25671:如果\你\把\油\倒\在\水\中\,\油\就\浮\在\上面\.\
#If you pour oil on water,it floats.
父距 匙啊 扁抚阑 拱 加俊 鹤绰促搁, 扁抚篮 梆 困肺 夺促.

25672:如果\你\表现\得\那样\,\大家\很快\就\会\对\你\厌烦\.\
#People will soon get tired of you if you behave in that way.
父距 匙啊 弊犯霸 钎泅茄促搁, 葛滴甸 陛规 呈俊霸 楼刘阑 尘 巴捞促.

25673:如果\你\不\当心\,\你\会\被\石头\绊倒\的\.\
#You'll trip over the stone if you don't mind out.
父距 匙啊 炼缴窍瘤 臼绰促搁, 呈绰 倒俊 吧妨 逞绢龙 巴捞促.

25674:如果\你\不快\点\,\我们\在\入夜\前\可能\无法\抵达\.\
#If you don't hurry,we might be benighted on the way.
父距 匙啊 粱 辑滴福瘤 臼绰促搁, 快府绰 广捞 登扁 傈俊 档馒且 荐 绝阑 瘤档 葛弗促.

25675:如果\你\不\明白\这\是\什么\意思\,\查\一下\词典\.\
#If you don't know what this means,refer to the dictionary.
父距 匙啊 捞巴捞 公郊 舵牢瘤 舅瘤 给茄促搁, 荤傈阑 茄锅 茫酒 焊酒扼.

25676:如果\你\不\能\来\吃饭\,\告诉\我\一\声\好\吗\?\
#Will you let me know if you can't come to dinner?
父距 力啊 侥荤窍矾 棵 荐 绝促搁, 唱俊霸 窍付叼 捞具扁秦 林摆聪?

25677:如果\你\不\听\我的\劝告\,\你\会\感到\后悔\的\.\
#If you don't take my advice,you'll be sorry.
父距 匙啊 唱狼 焙绊甫 佃瘤 臼绰促搁, 呈绰 饶雀甫 窍霸 瞪 巴捞促.

25678:如果\你\不\想来\,\就\把\你的\名字\从\名单\上\划\掉\.\
#If you don't want to come,cross your name off the list.
父距 匙啊 坷绊 酵瘤 臼促搁, 呈狼 捞抚阑 疙窜俊辑 弊绢滚妨扼.

25679:如果\你\不\心甘情愿\地\干\,\我\就\强迫\你\干\.\
#If you won't do it willingly,I'll make you do it.
父距 匙啊 咙缴栏肺 窍扁甫 盔窍瘤 臼绰促搁, 唱绰 呈俊霸 窍档废 碍夸且 巴捞促.

25680:如果\你\不\在意\的\话\,\我\情愿\喝\点\茶\.\
#I'd rather have some tea,if you don't mind.
父距 匙啊 俺狼摹 臼绰促搁, 唱绰 瞒甫 粱 付矫扁甫 盔钦聪促.

25681:如果\你\车\坏\了\,\你\就\坐\着\不\动\等\警察\来\.\
#If your car breaks down,sit tight and wait for the police.
父距 呈狼 瞒啊 绊厘车促搁, 呈绰 材娄富绊 旧酒辑 版蔓捞 坷扁甫 扁促妨扼.

25682:如果\你\持续\做\你的\工作\,\你\一定\会\成功\.\
#You will certainly succeed if you stick at your work.
父距 匙啊 呈狼 老阑 窍绰 巴阑 瘤加茄促搁, 呈绰 馆靛矫 己傍且 巴捞促.

25683:如果\你\打\这儿\来\,\一定\要\来\看看\我们\.\
#If you ever come this way,be sure to call on us.
父距 匙啊 咯扁俊辑 柯促搁, 馆靛矫 快府甫 粱 焊矾 客具 茄促.

25684:如果\你\到\公园\去\,\我\跟\你\一起\去\行\吗\?\
#If you're going to the park,do you mind if I tag along?
父距 匙啊 傍盔俊 埃促搁, 郴啊 呈客 窃膊 啊档 宝满聪?

25685:如果\你的\邻居\太\喧哗\,\你\就\有\理由\投\诉\.\
#If your neighbours are too noisy then you have cause for complaint.
父距 呈狼 捞眶捞 呈公 家鄂胶反促搁, 呈绰 绊家且 捞蜡啊 乐绰 巴捞促.

25686:如果\你\订阅\报纸\,\它\会\直接\给\你\送\到\门上\的\.\
#If you subscribe to the newspaper,it'll be delivered to your door.
父距 匙啊 脚巩阑 备刀茄促搁, 弊巴篮 流立 呈俊霸 巩鳖瘤 硅崔瞪 巴捞促.

25687:如果\你\耳朵\发\烫\,\就是\有\人\正在\谈论\你\.\
#If your ears burn,someone is talking about you.
父距 呈狼 蓖啊 哆芭况柳促搁, 官肺 穿焙啊啊 呈甫 捞具扁窍绊 乐绰 巴捞促.

25688:如果\你\方\还有\其他\建议\,\请\告知\,\盼\早\复\.\
#If you have any other suggestions,kindly let us know and we await your early reply.
父距 寸脚绵捞 肚 扁鸥 斑狼啊 乐栏矫促搁, 烹瘤秦 林绞矫坷. 炼加茄 雀翠阑 扁促府摆嚼聪促.

25689:如果\你\方\价格\优惠\,\我们\马上\订货\.\
#If your price is favourable,we can book an order right away.
父距 寸脚螟狼 啊拜捞 快驱利捞扼搁, 快府绰 官肺 林巩且 巴涝聪促.

25690:如果\你\方\价格\有\竞争\性\,\我\方将\寄\上\订单\.\
#If your price is competitive,we would like to mail you our order sheet.
父距 寸脚螟狼 啊拜捞 版里仿阑 俄促搁, 快府螟篮 梆 令巩辑甫 焊尘 巴涝聪促.

25691:如果\你\方\有\兴趣\,\请\电告\我\方\,\说明\所\需\数量\.\
#If you are interested,pleased cable us,indicating the quantity you require.
父距 寸脚螟捞 蕊固甫 爱绊 拌矫促搁, 历锐俊霸 傈焊肺 烹瘤秦辑 鞘夸茄 荐樊阑 汲疙秦 林绞矫坷.

25692:如果\你\伏\在\墙\上\望\出去\,\就\会\看到\那\条\河\.\
#If you lean over the wall.you will see the river.
父距 寸脚捞 淬 困俊 峻靛妨辑 官扼促焊搁, 弊 碍阑 杭 荐 乐嚼聪促.

25693:如果\你\感兴趣\,\你\来\后\我\把\详细\情况\告诉\你\.\
#If you would be interested,I'll tell you all the details when you get here.
父距 寸脚捞 蕊固甫 蠢尝脚促搁, 寸脚捞 坷矫搁 力啊 惑技茄 惑炔阑 寸脚俊霸 富靖秦 靛府摆嚼聪促.

25694:如果\你\给\它\浇水\,\那\株\玫瑰\还\会\活\.\
#That rose will revive if you water it.
父距 匙啊 弊巴俊霸 拱阑 谎赴促搁, 弊 厘固绰 歹 混 荐 乐阑 巴捞促.

25695:如果\你\和\他\吵架\,\我\会\觉得\很\遗憾\.\
#If you were to quarrel with him,I should feel very sorry.
父し凹 力啊 弊客 轿款促搁, 唱绰 酒林 蜡皑胶反霸 蠢偿 巴捞促.

25696:如果\你\继续\向前\,\你\就\会\去\到\那\座\教堂\.\
#If you walk on you'll come to the church.
父距 匙啊 菊栏肺 拌加 吧绢啊搁, 呈绰 弊 背雀俊 捞福霸 瞪 巴捞促.

25697:如果\你\继续\这样\下去\,\这会\把\自己\送\进\监狱\.\
#You'll wind up in prison if you go on behaving like that.
父距 匙啊 拌加 捞犯霸 茄促搁, 捞巴篮 磊脚阑 皑苛栏肺 隔酒 持绰 巴捞促.

25698:如果\你\加入\那个\俱乐部\,\你\就\得\遵守\其\规章\.\
#If you join the club you must abide by its rules.
父距 匙啊 弊 努反俊 啊涝茄促搁, 呈绰 弊 痹蘑阑 霖荐秦具茄促.

25699:如果\你\觉得\头晕\,\就\靠\在\我\身上\好了\.\
#Lean on me if you feel dizzy.
父距 匙啊 泅扁刘阑 蠢长促搁, 郴 个俊 扁措绢档 亮促.

25700:如果\你\来\西班牙\,\我们\一定\要\见\见面\.\
#If you ever come to Spain,we must meet.
父し凹 匙啊 胶其牢俊 柯促搁, 快府绰 馆靛矫 粱 父唱具 茄促.

25701:如果\你\没有\滑倒\的\话\,\你\本\不会\把\腿\摔断\的\.\
#If you hadn't slipped and fallen,you wouldn't have broken your leg.
父距 匙啊 固掺矾廉 逞绢瘤瘤 臼疽促搁, 呈绰 夯贰 促府甫 何矾哆府瘤 臼疽阑 巴捞促.

25702:如果\你\没有\向\他\招手\,\他\会\看见\你\吗\?\
#Would he have seen you if you hadn't waved to him?
父距 匙啊 弊俊霸 颊窿窍瘤 臼疽促搁, 弊啊 呈甫 杭 荐 乐菌阑鳖?

25703:如果\你们\打算\再\去\钓鱼\的\话\,\把\我\也\算\进去\.\
#If you're planning another fishing trip,deal me in.
父距 呈锐甸捞 肚 超矫窍妨 哎 累沥捞扼搁, 唱档 尝绢拎.

25704:如果\你们\订货\数量\大\,\价格\我们\还\可以\考虑\.\
#We may reconsider our price if your order is big enough.
父距 寸脚甸狼 林巩 荐樊捞 腹促搁, 啊拜篮 快府啊 歹 绊妨且 荐 乐嚼聪促.

25705:如果\你们\订货\数量\大\,\我们\可以\考虑\给\佣\金\.\
#We'll take the commission into consideration if your order is big enough.
父距 寸脚甸狼 林巩 荐樊捞 腹促搁, 快府绰 目固记 林绰 巴阑 绊妨且 荐 乐嚼聪促.

25706:如果\你们\继续\这样\干\,\后果\我们\将\不\负责\.\
#If you go on doing this,we won't answer for the consequence.
父距 寸脚甸捞 拌加秦辑 捞犯霸 茄促搁, 搬苞绰 快府啊 氓烙瘤瘤 臼阑 巴涝聪促.

25707:如果\你们\坚持\,\我们\可以\使用\木\箱\包装\.\
#We could use wooden cases for packing if you insist.
父距 寸脚甸捞 斑瘤茄促搁, 快府绰 唱公 惑磊甫 荤侩秦辑 器厘且 荐 乐嚼聪促.

25708:如果\你\那样\做\,\人们\就\会\议论\你的\行为\.\
#If you do that,people will start to talk about your behaviour.
父距 寸脚捞 弊犯霸 茄促搁, 荤恩甸捞 寸脚狼 青悼阑 狼沸且 巴涝聪促.

25709:如果\你\念\完\这\本\书\,\请\把\它\还给\我\.\
#If you have finished reading this book,please return it to me.
父距 寸脚捞 捞 氓阑 促 佬菌促搁, 弊巴阑 唱俊霸 倒妨林绞矫坷.

25710:如果\你\认为\他\会\帮助\你\,\那就\大错特错\了\.\
#If you think he will help you,you are sadly mistaken.
父距 匙啊 弊啊 呈甫 档匡 巴捞扼绊 积阿茄促搁, 弊巴篮 措角荐促.

25711:如果\你\失败\了\,\可\不要\哭哭啼啼\地\回来\找\我\.\
#If you fail,don't come snivelling back to me.
父距 匙啊 角菩茄促搁, 窍堪绝捞 惹陆芭府搁辑 唱甫 茫酒 倒酒坷瘤 富酒扼.

25712:如果\你\死\时\无\继承人\,\你的\财产\将\归属\国家\.\
#If you die without heirs,your property will revert to the State.
父距 寸脚捞 磷阑 锭 惑加牢捞 绝促搁, 寸脚狼 犁魂篮 惫啊俊 蓖加瞪 巴涝聪促.

25713:如果\你\外出\不\穿\外衣\,\你\就要\患\重\感冒\.\
#If you go out without a coat,you'll catch your death of cold.
父距 寸脚捞 寇捧甫 涝瘤 臼绊 寇免茄促搁, 寸脚篮 缴茄 皑扁俊 吧副 巴捞促.

25714:如果\你\忘\了\他的\生日\,\那\会\伤\他\感情\的\.\
#You'll hurt his feelings if you forget his birthday.
父距 寸脚捞 弊狼 积老阑 镭绢滚赴促搁, 弊狼 皑沥阑 惑窍霸 窍绰 巴捞促.

25715:如果\你\希望\考试\及格\,\那\你\真\得\认真\学习\了\.\
#You'll really have to knuckle diwn if you want to pass the examination.
父距 寸脚捞 矫氰俊 钦拜窍扁甫 锐噶茄促搁, 寸脚篮 沥富肺 凯缴洒 傍何秦具 且 巴捞促.

25716:如果\你\现在\出发\,\你\应该\会\在\五\点\前\抵达\那\
#If you leave now,you should get there by five o'clock.
父距 寸脚捞 瘤陛 免惯茄促搁, 寸脚篮 5矫 傈俊 弊 镑俊 档馒秦具 钦聪促.

25717:如果\你\现在\对\她\讲话\,\她\一定\生产\.\
#She is certain to get angry if you speak to her right now.
父距 寸脚捞 瘤陛 弊赤俊霸 富阑 茄促搁, 弊赤绰 馆靛矫 拳甫 尘 巴捞促.

25718:如果\你\想\把\盖子\旋\紧\,\就\按\顺\时针\方向\拧\.\
#Turn the lid clockwise if you want to fasten it tightly.
父距 寸脚捞 堆脖阑 菜 泪弊绊 酵促搁, 矫拌 规氢措肺 倒府技夸.

25719:如果\你\想\成功\,\你的\生活\就\需要\有些\条理\.\
#You need some system in your life if you want to succeed.
父距 寸脚捞 己傍窍绊 酵促搁, 寸脚狼 积劝篮 粱 炼府啊 乐绢具 钦聪促.

25720:如果\你\想\确保\赶上\班机\,\就\坐\出租汽车\吧\.\
#If you want to ensure that you catch the plane,take a taxi.
父距 匙啊 犬角洒 厚青扁俊 棱栏妨绊 茄促搁, 琶矫甫 鸥扼.

25721:如果\你\想\在\事业\上\成功\,\你\必须\有\闯\劲\.\
#If you want to be a success in business you must be aggressive.
父距 寸脚捞 荤诀俊 乐绢辑 己傍窍绊 酵促搁, 寸脚篮 馆靛矫 眠柳仿捞 乐绢具 茄促.

25722:如果\你\需要\帮忙\,\我\随时\听\你\吩咐\.\
#If you need any help,I am at your service.
父距 寸脚捞 档框阑 鞘夸肺 茄促搁, 唱绰 荐矫肺 寸脚狼 盒何甫 甸阑 荐 乐嚼聪促.

25723:如果\你\养\奶牛\,\你\就\得\每天\起\早\去\挤\奶\.\
#If you have cows you have to get up early to do the milking.
父距 寸脚捞 隶家甫 扁弗促搁, 寸脚篮 概老 老嘛 老绢唱辑 隶阑 楼矾 啊具 茄促.

25724:如果\你\要\上\大学\,\你\现在\就\该\申请\.\
#If you expect to enter the university,you should apply now.
父距 寸脚捞 措切俊 甸绢啊扁甫 盔茄促搁, 寸脚篮 瘤陛 脚没秦具 茄促.

25725:如果\你\有\机会\去\,\我\愿意\和\你\一起\去\.\
#If there's a chance you'll go,I'd like to go with you.
父距 寸脚捞 哎 扁雀啊 乐栏搁, 唱绰 寸脚苞 窃膊 啊绊 酵嚼聪促.

25726:如果\你\有\认\不得\的\词\,\可以\查\词典\.\
#If there are words you do not understand,look them up in the dictionary.
父距 寸脚捞 葛福绰 臂磊啊 乐栏搁, 荤傈阑 茫酒焊酒档 邓聪促.

25727:如果\你\有\时间\,\明天\给\我\打\个\电话\,\好\吗\?\
#If you have time,will you call me tomorrow?
父距 寸脚捞 矫埃捞 乐栏搁, 郴老 唱俊霸 傈拳甫 且 荐 乐嚼聪鳖?

25728:如果\你\愿意\听\我的\劝告\,\我\看\你\不\应当\去\.\
#If you want my advice,I don't think you should go.
父距 匙啊 唱狼 鼻绊甫 佃扁甫 盔茄促搁, 唱绰 匙啊 啊辑绰 救等促绊 积阿茄促.

25729:如果\你\再\到\我\家\来\,\我\就要\放\狗\来\咬\你\!\
#If you come to my house again,I'll set the dog on you!
父距 匙啊 促矫 唱狼 笼俊 柯促搁, 唱绰 俺甫 钱绢辑 呈甫 拱霸 且 巴捞促.

25730:如果\你\再\讲话\,\那就\对\你\不客气\了\.\
#If you keep your talking up,you will be sorry.
父距 匙啊 促矫 捞具扁茄促搁, 弊巴篮 匙啊 沥吝窍瘤 臼篮 巴捞 等促.

25731:如果\你\在\明天\把\书\交还\,\我\就\把\书\借给\你\.\
#I'll lend you the book if you return it tomorrow.
父距 匙啊 郴老 氓阑 倒妨霖促搁, 唱蠢 氓阑 呈俊霸 呼妨临 巴捞促.

25732:如果\你\站\在\我\肩膀\上\,\你\就\能\看见\墙\那边\了\.\
#If you stand on my shoulders you will be able to see over the wall.
父距 匙啊 唱狼 绢柄 困俊 辑 乐绰促搁, 呈绰 淬 历率阑 杭 荐 乐霸 等促.

25733:如果\你\找\不到\我的\伞\,\别人\的\也\可以\.\
#If you can't find my umbrella,anyone else's will do.
父距 力啊 唱狼 快魂阑 茫阑 荐 绝促搁, 促弗 荤恩狼 巴档 宝满促.

25734:如果\你\真的\感到\后悔\,\我\就\会\原谅\你\.\
#If you're really sorry,I'll forgive you.
父距 匙啊 沥富肺 饶雀茄促搁, 唱绰 呈甫 侩辑且 巴捞促.

25735:如果\你\知道\我\多么\受苦\,\你\会\同情\我\.\
#If you knew how I suffered,you would pity me.
父距 匙啊 郴啊 倔付唱 绊烹胶矾款瘤甫 救促搁, 呈绰 唱甫 悼沥且 巴捞促.

25736:如果\你\专心致志\,\你\是\能够\做\好\这\件\事\的\.\
#You can do it if you put your mind to it.
父距 匙啊 傈缴傈仿栏肺 隔滴秦辑 茄促搁, 呈绰 捞 老阑 肋 秦 尘 荐 乐促.

25737:如果\你\自己\不\做饭\,\那\你\就\得\挨饿\.\
#If you won't cook your own dinner,then you'll have to go hungry.
父距 匙 胶胶肺啊 逛阑 窍瘤 臼绰促搁, 弊巴篮 匙啊 本林妨具 窍绰 巴捞促.

25738:如果\你\总是\呆\在家里\,\就\见\不到\世面\.\
#You won't see life if you stay at home for ever.
父距 匙啊 疵 笼俊 乐绰促搁, 技惑阑 焊瘤 给且 巴捞促.

25739:如果\你\作弊\,\考试\及格\也\没什么\价值\.\
#There's little merit in passing the examination if you cheated.
父距 匙啊 牧醋阑 茄促搁, 矫氰俊 钦拜窍绰 巴档 酒公 啊摹啊 绝促.

25740:如果\人人\努力\,\我们\一定\能\提前\完成\任务\.\
#We are sure to fulfill the task ahead of schedule if everyone bears down.
父距 葛滴啊 畴仿茄促搁, 快府绰 馆靛矫 烙公甫 菊寸败 肯己且 荐 乐促.

25741:如果\是\纯\水\,\就\不\需要\进一步\处理\了\.\
#If the water is pure,it will not need further treatment.
父距 鉴荐茄 拱捞扼搁, 柳老焊 贸府窍绰 巴阑 鞘夸肺 窍瘤 臼绰促.

25742:如果\他\病\了\,\这\对\我们\来说\前景\不妙\.\
#It's a bad lookout for us if he becomes ill.
父距 弊啊 捍捞 抄促搁, 捞巴篮 快府俊霸 乐绢辑绰 傈噶捞 亮瘤 臼篮 巴捞促.

25743:如果\他\不到\,\这会\势必\延期\至\下\星期\.\
#In the event of his not arriving,the meeting will be put off to next week.
父距 弊啊 档馒窍瘤 臼绰促搁, 捞锅 雀狼绰 促澜 林鳖瘤 楷扁秦具父 茄促.

25744:如果\他\不\马上\付钱\给\我们\,\我们\只好\起诉\他\.\
#If he doesn't pay us soon we will have to bring an action against him.
父距 弊啊 官肺 快府俊霸 捣阑 瘤阂窍瘤 臼绰促搁, 快府绰 绢驴 荐 绝捞 弊甫 扁家秦具 茄促.

25745:如果\他的\要求\合理\,\我们\应该\接受\.\
#If his demands are reasonable,we should meet them.
父距 弊狼 夸备啊 钦府利捞扼搁, 快府绰 罐酒甸咯具 茄促.

25746:如果\他\能干\好\这\工作\,\年龄\是\无关\紧要\的\.\
#If he can do the job well,his age is irrelevant.
父距 弊啊 捞 老阑 肋 且 荐 乐促搁, 唱捞绰 吝夸摹 臼促.

25747:如果\他\求\你\由\着\他\爱\怎样\,\你\切\不\能\依\他\.\
#If he pleads with you to let him have his own way ,you mustn't give in to him.
父距 弊啊 呈俊霸 弊狼 规侥阑 蝶靛档废 夸备茄促搁, 呈绰 例措肺 弊甫 狼瘤且 荐 绝促.

25748:如果\他\是\那样\对\你\说\的\,\那\他\是\在\撒谎\.\
#If he told you that,he was lying.
父距 弊啊 弊犯霸 呈俊霸 富沁促搁, 弊巴篮 弊啊 芭窿富阑 窍绊 乐绰 巴捞促.

25749:如果\他\下午\真的\来\,\我\就\会\让\他\来\做\试验\.\
#Should he come this afternoon,I would let him do the test.
父距 弊啊 坷饶俊 沥富 柯促搁, 唱绰 弊甫 抛胶飘窍档废 且 巴捞促.

25750:如果\他\一味\这样\下去\,\将会\一事\无成\.\
#If he goes on like this,he'll never amount to anything.
父距 弊啊 寇绑栏肺 捞犯霸 秦唱埃促搁, 窍唱档 捞风绰 巴捞 绝阑 巴捞促.

25751:如果\他\以为\我们\对\他\有\成见\那\他\就\弄错\了\.\
#He is labouring under a wrong impression if he thinks that we have any prejudice against him.
父距 弊啊 快府啊 弊俊霸 急涝包阑 啊瘤绊 乐促搁 积阿茄促搁, 弊巴篮 弊啊 肋给等 巴捞促.

25752:如果\他\有意\帮助\我们\,\他\就\会\这样\做\.\
#He would help us if he were minded to do so.
父距 弊啊 快府甫 档匡 狼荤啊 乐促搁, 弊绰 捞犯霸 且 巴捞促.

25753:如果\他\有\足够\的\钱\,\他\早\就\买\了\那\所\房子\.\
#If he had only had enough money,he would have bought that house.
父距 弊啊 面盒茄 捣捞 乐促搁, 弊绰 国结 弊 笼阑 或阑 巴捞促.

25754:如果\她\懂\英语\,\可能\早\就\把\这\本\书\翻译\出来\.\
#If she had known English,she might have translated this book.
父距 弊赤啊 康绢甫 救促搁, 酒付 国结 捞 氓阑 锅开秦陈阑 巴捞促.

25755:如果\她\富有\的\话\,\她\就\会\给\我\一些\钱\的\.\
#If she were rich,she would give me some money.
父距 弊赤啊 何蜡窍促搁, 弊赤绰 唱俊霸 距埃狼 捣阑 林菌阑 巴捞促.

25756:如果\她\和\他\在一起\,\她\会\感到\好\得\多\.\
#Were she here with him,she would feel much better.
父距 弊赤啊 弊客 窃膊 乐促搁, 弊赤绰 概快 亮疽阑 巴捞促.

25757:如果\她\继续\那样\工作\下去\,\一定\会\生病\的\.\
#She will certainly become ill if she goes on working like that.
父距 弊赤啊 拌加秦辑 弊犯霸 老茄促搁, 馆靛矫 捍捞 朝 巴捞促.

25758:如果\她\昨天\问\我\,\她\今天\就\不会\弄错\了\.\
#If she had asked me yesterday,she wouldn't get it wrong now.
父距 弊赤啊 绢力 唱俊霸 拱菌促搁, 弊赤绰 坷疵 肋给窍瘤 臼疽阑 巴捞促.

25759:如果\天气\许可\的\话\,\她\明天\动身\去\北京\.\
#If the weather permits,she will start for Beijing tomorrow.
父距 朝揪啊 倾遏茄促搁, 弊赤绰 郴老 合版栏肺 免惯且 巴捞促.

25760:如果\停\电\,\这\家\医院\有一套\备用\的\发电\设备\.\
#If the electricity fails,the hospital has a standby power apparatus.
父距 沥傈捞扼搁, 捞 捍盔篮 霖厚等 惯傈 汲厚甫 啊瘤绊 乐促.

25761:如果\万一\下雨\的\话\,\我们\怎么办\呢\?\
#Should it rain,what should we do?
父距 父老 厚啊 柯促搁, 快府绰 绢痘霸 窍唱?

25762:如果\我\被\孤单\地\遗留\在\荒\岛\上\,\我\怎么\办\?\
